month_date_yyyymm,county_fips,county_name,cbsa_code,cbsa_title,hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,page_view_count_per_property_mm,page_view_count_per_property_yy,page_view_count_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
202502,39021,"champaign, oh",46500,"Urbana, OH",1189,24,24,-210,94.69273743,91.495965239,97.889509621,43.000000,-0.144278606965,-7.250000,-0.289256198347,-17.500000,-23.000000,-0.034963295757,0.067635101108,2.972781620477,274475,-0.01942571339,0.3724607788,0.6662014563,0
202502,34035,"somerset, nj",35620,"New York-Newark-Jersey City, NY-NJ",228,25,25,16,94.661700807,97.703289882,91.620111732,35.250000,-0.312195121951,-16.000000,0.438775510204,10.750000,-30.750000,-0.018143336343,-0.279580380587,2.380729730405,647000,-0.04254532001,0.07927770132,1.57038835,0
202502,29051,"cole, mo",27620,"Jefferson City, MO",733,26,26,-16,94.537554314,93.606455618,95.468653011,40.000000,-0.272727272727,-15.000000,-0.012345679012,-0.500000,-26.000000,0.142654871123,-0.186098747631,2.671193227142,306075,-0.006975423798,-0.1437263953,0.7429004854,1
202502,09180,"southeastern connecticut planning region, ct",35980,"Norwich-New London-Willimantic, CT",249,27,27,-31,94.444444444,90.813159528,98.075729361,43.500000,-0.159420289855,-8.250000,-0.022471910112,-1.000000,-22.500000,-0.060821345721,-0.200667592779,2.988930624961,394925,0.02724671609,-0.1017924917,0.9585558252,1
202502,55133,"waukesha, wi",33340,"Milwaukee-Waukesha, WI",172,28,28,-58,94.103041589,93.171942893,95.034140286,40.500000,-0.280000000000,-15.750000,-0.047058823529,-2.000000,-25.500000,-0.033865966861,-0.042871361823,2.622132567515,574900,0.009309205184,0.03366746078,1.39538835,0
202502,55073,"marathon, wi",48140,"Wausau, WI",463,29,29,-59,93.668528864,89.633767846,97.703289882,45.000000,-0.343065693431,-23.500000,-0.042553191489,-2.000000,-21.000000,-0.001594377614,-0.019476421590,2.950305709868,306450,0.01759920305,-0.126238506,0.7438106796,1
202502,44007,"providence, ri",39300,"Providence-Warwick, RI-MA",100,30,30,5,93.606455618,98.324022346,88.888888889,32.500000,-0.285714285714,-13.000000,0.056910569106,1.750000,-33.500000,-0.032632898947,-0.241573027514,2.222269241467,444500,0.005656108597,0.111527882,1.078883495,0
202502,34039,"union, nj",35620,"New York-Newark-Jersey City, NY-NJ",140,31,31,-18,93.451272502,99.13097455,87.771570453,29.000000,-0.382978723404,-18.000000,-0.016949152542,-0.500000,-37.000000,-0.021875483213,-0.149156289969,2.136832275609,600000,0.007598975608,0.09145481832,1.45631068,0
202502,39051,"fulton, oh",45780,"Toledo, OH",1158,32,32,-68,93.420235878,92.17877095,94.661700807,41.500000,-0.216981132075,-11.500000,-0.198067632850,-10.250000,-24.500000,0.096973696431,-0.276448472612,2.592304839092,238200,-0.1224903297,0.2407865608,0.5781553398,0
202502,39085,"lake, oh",17410,"Cleveland, OH",284,33,33,-106,93.358162632,88.950962135,97.765363128,45.750000,-0.240663900415,-14.500000,-0.128571428571,-6.750000,-20.250000,0.215604468389,-0.005936280713,2.954393220223,277119.25,0.01241871255,-0.04930100518,0.6726195388,0
